WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
,,,UIA59AK0820,11.55,7.74,-1.41,0.47,-2.28,-3.11,-3.38,2.1,2.1,2.64,0.35,0.44
,,,UIA59AK1120,11.96,12.42,-2.32,0.81,-1.62,-2.96,-4.57,3.81,3.94,3.94,0.62,0.81
,,,UIA59AK1301,15.16,20.1,-5.21,1.14,-0.96,-2.8,-5.4,7.08,7.18,7.18,0.81,1.14
WSAWB20,GBS-QX-A5E,027*30.5*TM900 * A-589*Wire-01*0021*T201T034*23061402,UGH89AG0120,10.89,9.52,0.35,0.83,1.53,2.26,2.3,1.39,3.07,4.06,0.71,0.3
2023/6/15 05:13,UGH89AG,,UGH89AG0320,11.03,6.26,-0.6,0.71,1.24,1.79,2.14,1.45,2.49,2.68,0.53,0.19
,,,UGH89AG0520,11.46,7.5,-0.56,0.83,0.58,1.21,1.93,2.98,2.98,3.76,0.69,0.41
,,,UGH89AG0820,11.81,8.39,-1.69,0.93,-0.82,-0.82,-1.39,3.1,3.1,3.1,0.8,0.44
,,,UGH89AG1020,12.22,9.71,-2.44,0.93,-0.8,-1.49,-2.79,4.74,4.74,4.74,0.93,0.82
,,,UGH89AG1201,11.93,13.45,-2.7,1.57,0.69,0.9,-2.44,13.07,13.16,13.16,1.55,1.57
WSAWB20,TSM-QX-K5F,026*25.3*TM900 * A-580*Wire-03*0042*T017T224*23061302,UEB95AB0120,10.57,5.26,-0.6,0.57,2.3,2.99,3.08,1.17,3.54,4.11,0.26,0.57
2023/6/14 13:49,UEB95AB,,UEB95AB0220,10.46,6.53,-1.2,0.5,1.97,2.47,2.62,0.95,2.73,3.67,0.34,0.48
,,,UEB95AB0420,10.27,6.79,-1.39,0.69,1.49,1.98,2.15,0.63,2.84,3.87,0.17,0.69
,,,UEB95AB0620,10.16,7.65,-1.81,0.51,-0.87,0.93,0.95,1.29,2.77,3.37,0.18,0.51
,,,UEB95AB0820,10.61,8.86,-2.23,0.47,-1.37,-1.37,-1.58,2.33,2.9,3.32,0.4,0.47
,,,UEB95AB1001,10.64,10.02,-3.07,0.66,-1.09,1.18,1.34,5.55,5.71,5.71,0.56,0.66
WSAWB20,NXC-QC-03B,025*29.5*TM900 * A-567*Wire-02*0048*T007T224*23061302,UHBBMAA0120,9.04,8.92,-0.06,0.6,2.05,3.05,3.05,1.54,3.67,4.01,0.47,0.49
