WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Wav ind,Entry wav,Exit wav,Bow
,,,PAJGQAI0520,9.23,7.78,1.69,1.85,1.86,-1.28,-1.28,-1.28,0.62,0.58,0.31,-0.58
,,,PAJGQAI0720,9.13,7.14,1.33,-2.44,-2.44,-1.15,-1.3,-1.49,0.57,0.57,0.3,-0.8
,,,PAJGQAI0920,8.55,7.1,1.69,-1.91,-2.02,1.22,1.22,-1.6,0.54,0.41,0.45,-0.89
,,,PAJGQAI1101,8.83,7.58,2.28,2.89,2.89,4.49,4.49,4.49,0.73,0.52,0.73,-1.29
WSAWB20,GFF-QY-13E,054*18.1*TM860 * A-861*Wire-03*0121*T016T208*22121202,P5214AF0120,7.13,8.68,3.13,5.08,5.08,0.86,2.3,2.56,0.84,0.84,0.69,1.06
2022/12/13 11:15,P5214AF,,P5214AF0220,7.08,9.65,2.33,4.35,4.35,1.83,2.96,3.04,0.84,0.77,0.5,0.33
,,,P5214AF0320,7.27,7.54,1.77,4.52,4.56,1.75,3.18,3.41,0.98,0.98,0.62,0.69
,,,P5214AF0520,7.09,8.86,1.27,4.32,4.32,0.55,1.21,1.32,0.96,0.99,0.32,-0.11
,,,P5214AF0620,7.44,7.41,1.42,4.48,4.48,1.3,1.78,1.82,0.76,0.83,0.36,-0.29
,,,P5214AF0701,7.25,8.28,1.5,4.02,4.02,1.38,1.64,1.64,0.82,0.82,0.24,-0.45
WSAWB20,GFF-QY-13E,052*20.9*TM860 * A-839*Wire-01*0117*T016T208*22121102,P54EZAC0120,7.56,9.72,7.05,8.04,8.04,-1.08,3.26,3.26,1.09,0.96,1.09,-0.72
2022/12/12 04:39,P54EZAC,,P54EZAC0220,7.71,9.46,6.44,7.92,7.92,1.18,3.71,3.71,0.98,0.88,0.98,-0.64
