WSAW,PO/LOT,Comment,Wafer id,TTV,Warp,Bow,Wav ind,Entry Warp 10mm,Entry Warp 20mm,Entry Warp 30mm,Exit Warp 10mm,Exit Warp 20mm,Exit Warp 30mm,Entry wav,Exit wav
,,,PJEX4AH1020,8.06,8.9,0.21,1.1,1.2,1.54,1.54,4.32,8.33,8.33,0.42,1.1
,,,PJEX4AH1208,9.13,12.38,-0.7,1.1,1.59,3.29,3.97,10.31,12.45,13.41,0.46,1.16
WSAWB20,DEV-QC-56P,028*30.9*TM860 *New (P1) -841*Wire-03*0028*22061902,PJEX3AH0120,9.5,9.52,-1.26,0.86,0.84,-2.2,-4,-1.12,4.37,5.05,0.46,0.91
2022/6/19 23:21,PJEX3AH,,PJEX3AH0320,9.08,7.59,-1.59,0.44,0.62,-2,-3.69,0.73,1.72,2.63,0.29,0.4
,,,PJEX3AH0520,9.75,6.97,-1.2,0.44,0.68,-1.62,-3.21,1.5,1.97,2.44,0.32,0.35
,,,PJEX3AH0820,8.83,6.44,-0.91,0.49,0.39,-2.13,-3.17,0.74,1.39,1.96,0.42,0.34
,,,PJEX3AH1020,8.12,7.36,-0.65,0.59,-0.54,-2.49,-2.69,1.24,2.72,3.22,0.38,0.47
,,,PJEX3AH1201,7.74,10.47,-1.24,0.7,-0.75,-1.47,-2.07,5.24,7.54,7.87,0.42,0.7
WSAWB20,DEV-QC-56P,027*31.8*TM860 *New (P1) -829*Wire-02*0203*22061802,PGA69AA0120,9.83,7.84,-0.55,0.92,1.77,2.28,-2.65,-0.67,3.14,4.34,0.49,0.92
2022/6/19 08:22,PGA69AA,,PGA69AA0320,9.52,6.74,-0.34,0.51,1.61,2.11,-2.7,0.91,1.41,2.58,0.51,0.51
,,,PGA69AA0520,9.41,5.41,-0.83,0.27,1.51,1.51,1.51,1.08,1.08,1.63,0.24,0.24
,,,PGA69AA0820,8.83,5.94,0.15,0.29,1.06,1.18,-1.43,1.38,2.15,2.88,0.23,0.29
,,,PGA69AA1020,8.37,8.02,-0.2,0.5,1.35,-1.35,-1.81,2.22,3.62,3.84,0.29,0.5
,,,PGA69AA1208,8.04,8.8,-0.21,0.73,1.69,1.7,1.7,6.7,8.51,8.7,0.35,0.74
WSAWB20,DEV-QC-55K,026*30.3*TM860 *New (P1) -818*Wire-01*0201*22061801,PHJB4AH0120,9.7,7.99,0.35,1.05,1.87,1.87,-3.25,1.19,4.38,5.01,0.48,1.05
2022/6/18 17:13,PHJB4AH,,PHJB4AH0320,9.73,7.31,-0.05,0.39,1.28,1.32,-2.92,1.48,1.77,2.01,0.39,0.33
,,,PHJB4AH0520,8.85,6.21,0.29,0.37,0.9,1.03,-2.09,0.99,0.99,1.43,0.37,0.3
,,,PHJB4AH0820,8.56,7.24,0.88,0.49,-0.36,-0.59,-1.85,1.54,2.35,2.48,0.44,0.49
,,,PHJB4AH1020,8.28,6.75,0.94,0.41,-0.81,-0.85,-1.67,1.77,2.74,2.94,0.3,0.4
,,,PHJB4AH1201,8.61,8.79,0.17,0.84,1.43,3,3.06,6.23,8.27,8.27,0.59,0.84
