A1_TTV,B1_TTV,C1_TTV,A2_TTV,B2_TTV,C2_TTV,A1_WARP,B1_WARP,C1_WARP,A2_WARP,B2_WARP,C2_WARP,A1_BOW,B1_BOW,C1_BOW,A2_BOW,B2_BOW,C2_BOW,A1_WAVI,B1_WAVI,C1_WAVI,A2_WAVI,B2_WAVI,C2_WAVI
9.56,8.86,10.17,11.61,9.96,,10.46,6.71,7.57,11.32,5.44,,-0.76,-1.17,0.65,0.71,-1.24,,1.3,0.66,1.13,0.52,0.48,
9.96,8.84,9.86,12.48,10.54,,9.85,7.5,6.72,11.84,5.38,,-0.2,-1.34,0.19,-1.91,-1.77,,1.24,0.76,1.17,0.53,0.47,
9.26,9.26,10.05,8.22,10.11,,10.15,11.5,10.34,8.79,8.6,,2.13,-1.22,-1.58,-3.11,-0.08,,1.29,0.81,1.43,0.76,0.55,
13.1,10.21,11.39,8.41,9.94,,10.36,10.35,9.9,7.45,7.58,,2.15,-1.89,-1.34,-2.69,-0.58,,1.3,0.86,1.31,0.62,0.56,
13.2,10.13,10.67,7.45,10.15,,11.18,11.99,10.09,9.81,6.05,,1.75,-1.71,0.33,-3.54,-0.79,,0.93,0.76,1.26,0.71,0.47,
13.49,9.77,11.35,8.36,10.23,,10.37,11.95,10.13,9.03,7.43,,1.11,-2.5,0.12,-1.47,-1.15,,0.77,0.73,1.27,0.72,0.51,
10.16,9.38,12.44,8.98,9.88,,10.05,13.12,10.22,10.2,6.73,,0.46,-2.99,0.67,-2.82,-1.11,,0.82,1,1.11,0.57,0.38,
10.65,9,12.17,10.62,11.72,,10.66,14.92,9.3,12.41,11.2,,0.04,-3.3,0.39,-2.5,-1.73,,0.81,0.88,0.9,0.86,0.48,
10.94,9.06,12.06,8.98,10.09,,9.39,9.58,9.85,10.09,6.85,,1.26,-1.35,-0.75,-3.06,0.21,,1.04,0.63,1.11,0.57,0.51,
11.36,10.6,11.23,9.2,10.18,,9.4,7.29,8.68,9.05,4.86,,1.36,-0.76,-1.4,-3.49,0.04,,1.07,0.55,0.97,0.44,0.48,
11.73,9.87,11.17,9,10.49,,5.65,5.26,6.79,10.9,4.34,,0.97,-0.74,0.46,-3.91,-0.4,,0.89,0.43,0.71,0.43,0.38,
12.89,9.66,11.91,10.38,10.59,,5.54,5.45,6.46,12.9,3.98,,0.45,-1.16,0.48,-2.02,-0.24,,0.87,0.38,0.65,0.46,0.44,
11.4,10.11,12.76,10.95,10.58,,5.39,7.19,6.48,8.32,5.62,,-0.05,-0.74,0.14,-2.28,0.16,,0.84,0.55,0.68,0.43,0.29,
12.25,10.76,11.44,11.93,11.41,,5.89,5.96,8.38,5.79,5.53,,-0.79,-1.2,-0.36,-2.09,-0.71,,0.77,1.02,0.67,0.72,0.6,
11.78,10.09,12.5,8.33,10.21,,5.43,5.39,9.73,4.9,7.9,,-0.03,-0.22,0.02,-2.41,-1.02,,0.63,0.68,0.64,1,0.72,
13.88,8.66,11.13,8.67,10.29,,4.98,6.65,9.49,7.74,6.13,,0.05,-0.78,-0.6,-2.99,-0.82,,0.65,0.52,0.85,0.69,0.59,
